Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Max Strus,DePaul,BE,SR,F,35,1310.0,6.6,15.5,0.429,3.2,8.9,0.363,3.4,6.6,0.517,0.533,3.7,4.3,0.842,1.1,4.8,5.9,2.2,0.9,0.5,2.0,3.1,20.1,115.8,107.9,20.3,0.575,0.575,0.281,3.5,14.7,9.1,11.3,1.4,1.6,12.7,23.4,3.9,1.0,4.9,0.15,4.9,-1.0,3.9,strusma01
Maxi Kleber,Bayern Munich,Intl,FR,F,17,436.7,5.8,11.7,0.496,2.2,5.1,0.44,3.6,6.7,0.538,0.59,3.0,3.6,0.829,4.1,7.4,11.6,2.3,1.7,1.7,2.2,4.4,16.8,108.499,99.89,11.745,0.632,0.436,0.308,22.168,26.673,25.087,51.339,3.677,27.135,15.6,33.487,0.084,1.262,1.345,0.123,1.01,2.334,3.344,klebima01
Maxime Raynaud,Stanford,ACC,SR,C,35,1173.0,7.5,16.1,0.467,1.9,5.5,0.347,5.6,10.6,0.53,0.527,3.3,4.2,0.77,2.7,7.9,10.6,1.7,0.9,1.4,2.4,2.4,20.2,110.1,100.5,25.6,0.558,0.343,0.263,9.4,28.7,18.8,11.9,1.5,4.6,14.2,30.3,3.0,2.0,5.0,0.17,5.7,0.6,6.3,raynama01
Micah Peavy,Georgetown,BE,SR,F,32,1184.0,6.8,14.2,0.481,1.6,4.1,0.4,5.2,10.2,0.514,0.538,1.9,2.8,0.659,1.7,4.1,5.8,3.6,2.3,0.5,2.6,3.2,17.2,108.3,99.9,19.7,0.552,0.286,0.2,5.0,13.2,9.0,19.9,3.7,1.6,16.8,24.5,2.1,2.1,4.2,0.143,2.6,2.7,5.3,peavymi01
Michael Porter Jr.,Missouri,SEC,FR,F,3,53.0,3.3,10.0,0.333,1.0,3.3,0.3,2.3,6.7,0.35,0.383,2.3,3.0,0.778,1.3,5.3,6.7,0.3,1.0,0.3,1.0,4.5,10.0,92.7,88.7,20.0,0.438,0.333,0.3,9.5,32.5,21.8,4.6,3.4,2.0,10.1,33.3,0.0,0.1,0.2,0.128,4.7,3.4,8.1,portemi01
Mikal Bridges,Villanova,BE,JR,F,40,1287.0,6.1,11.9,0.514,2.6,6.0,0.435,3.5,5.9,0.593,0.623,2.9,3.4,0.851,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.7,17.6,130.1,97.4,26.8,0.655,0.503,0.282,5.2,13.7,9.7,10.6,2.7,3.5,10.9,22.0,5.4,2.4,7.7,0.241,8.4,3.6,12.0,bridgmi01
Mike Conley,Ohio St.,Big Ten,FR,G,39,1231.0,5.2,10.0,0.518,0.7,2.2,0.304,4.5,7.8,0.579,0.552,3.2,4.7,0.694,0.9,3.5,4.4,7.7,2.8,0.3,2.8,1.9,14.3,0.0,0.0,24.5,0.584,0.223,0.466,0.0,0.0,0.0,0.0,0.0,0.0,18.6,23.4,2.7,3.4,6.1,0.199,0.0,0.0,9.6,conlemi01
Miles Bridges,Michigan St.,B10,SO,F,34,1067.0,6.1,13.4,0.458,2.1,5.7,0.366,4.1,7.7,0.527,0.536,2.7,3.2,0.845,1.3,5.7,7.0,2.6,0.6,0.8,2.0,2.0,17.1,116.2,94.6,22.6,0.573,0.427,0.241,5.2,18.1,12.5,16.6,1.2,2.5,14.7,25.0,3.3,2.2,5.5,0.208,5.7,1.9,7.6,bridgmi02
Miles Kelly,Auburn,SEC,SR,F,38,1071.0,3.7,9.1,0.406,2.3,6.1,0.378,1.4,3.0,0.465,0.533,1.6,1.7,0.909,0.3,3.3,3.7,1.1,1.0,0.4,0.9,3.1,11.3,117.5,101.5,14.9,0.568,0.671,0.19,1.4,13.1,7.4,6.4,2.1,1.5,10.5,17.0,2.1,1.7,3.9,0.144,3.3,2.8,6.1,kellymi02
Miles McBride,West Virginia,B12,SO,G,29,991.0,5.4,12.5,0.43,1.6,3.8,0.414,3.8,8.7,0.437,0.493,3.4,4.2,0.813,1.2,2.7,3.9,4.9,1.9,0.3,1.8,2.0,15.8,117.9,101.2,22.8,0.543,0.305,0.339,3.7,9.2,6.3,28.6,3.2,1.0,13.2,23.0,3.4,1.2,4.7,0.189,6.3,2.6,8.8,mcbrimi01
Mohamed Diawara,Cholet,Intl,FR,F,27,587.8,4.3,11.2,0.383,1.7,5.3,0.31,2.7,5.9,0.449,0.46,1.6,3.1,0.488,2.3,4.0,6.3,3.0,1.1,0.6,1.7,4.7,11.8,82.726,103.52,10.648,0.47,0.473,0.277,14.673,17.013,16.077,83.799,2.807,9.934,15.6,36.4,-0.07,1.554,1.484,0.101,0.5,0.761,1.261,diawamo01
Moritz Wagner,Michigan,B10,JR,F,38,1050.0,5.6,10.6,0.526,1.6,4.2,0.392,3.9,6.4,0.612,0.603,1.9,2.8,0.698,1.5,5.7,7.1,0.8,1.0,0.5,1.4,4.5,14.6,114.8,91.4,24.7,0.618,0.391,0.263,6.5,25.0,15.7,6.7,2.2,2.0,13.1,24.6,3.1,2.6,5.7,0.213,5.0,3.3,8.3,wagnemo01
Moses Moody,Arkansas,SEC,FR,F,32,1082.0,5.2,12.1,0.427,1.8,5.1,0.358,3.3,7.0,0.478,0.503,4.7,5.8,0.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.7,16.8,116.0,97.4,20.4,0.568,0.42,0.482,6.3,11.8,9.0,8.0,1.6,2.0,11.8,21.6,3.4,1.8,5.2,0.193,4.5,1.6,6.1,moodymo01
Mouhamed Gueye,Washington St.,P12,SO,C,33,1060.0,5.6,11.5,0.488,0.3,1.2,0.275,5.3,10.3,0.513,0.503,2.7,4.0,0.674,3.4,5.0,8.4,1.9,0.8,0.8,2.3,3.5,14.3,106.4,99.1,21.5,0.532,0.105,0.346,12.2,19.3,15.7,14.1,1.6,2.7,16.9,26.5,2.3,1.7,4.0,0.152,2.9,1.4,4.3,gueyemo02
Moussa Cisse,Memphis,Amer,SR,C,35,637.0,2.0,3.6,0.548,0.0,0.0,0.0,2.0,3.6,0.548,0.548,1.7,3.6,0.488,2.7,3.8,6.5,0.5,0.7,1.6,1.0,5.6,5.7,107.1,95.0,19.5,0.537,0.0,0.992,17.3,22.7,20.1,4.3,2.1,9.8,17.2,18.4,1.0,1.4,2.4,0.152,0.1,2.9,3.0,cissemo01
Myles Turner,Texas,B12,FR,C,34,755.0,3.4,7.6,0.455,0.5,1.8,0.274,2.9,5.7,0.513,0.488,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,4.3,10.1,109.4,85.4,25.5,0.556,0.241,0.436,7.2,24.9,16.7,6.2,0.8,12.3,16.6,23.8,1.9,2.1,4.0,0.213,3.1,5.5,8.5,turnemy01
Myron Gardner,Little Rock,OVC,SR,F,28,863.0,4.3,10.2,0.421,1.2,3.5,0.347,3.1,6.7,0.46,0.481,3.6,4.8,0.748,2.2,7.0,9.1,3.6,1.3,0.5,2.7,4.2,13.2,104.1,105.2,19.6,0.537,0.347,0.474,7.5,25.6,16.5,22.2,2.3,1.9,19.7,24.4,1.7,1.2,2.9,0.124,1.7,-0.6,1.2,gardnmy01
