player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Al McGuire,mcguial01,2966.0,5.4,0.0,0,0,Rotational
Al Miksis,miksial01,0.0,0.1,0.0,0,0,Rotational
Al Negratti,negraal01,0.0,-0.1,0.0,0,0,Rotational
Al Roges,rogesal01,2339.0,0.7,0.0,0,0,Rotational
Al Salvadori,salvaal01,186.0,-0.1,0.0,0,0,Rotational
Al Sanders,sandeal01,25.0,0.1,0.0,0,0,Rotational
Al Skinner,skinnal01,9509.0,16.2,2.7,0,0,Rotational
Al Smith,smithal01,8971.0,11.1,-0.6000000000000001,0,0,Rotational
Al Thornton,thornal01,11736.0,10.0,-4.3,0,0,Starter
Al Tucker,tuckeal01,10182.0,15.6,0.0,0,0,Starter
Al Williams,willial01,70.0,0.0,0.0,0,0,Rotational
Al Wood,woodal01,10869.0,16.1,1.7,0,0,Starter
Al-Farouq Aminu,aminual01,18132.0,27.8,6.2,0,0,Starter
Alaa Abdelnaby,abdelal01,5017.0,7.1,-2.4,0,0,Rotational
Alan Anderson,anderal01,6793.0,7.2,-0.9,0,0,Rotational
Alan Hardy,hardyal01,421.0,0.0,-0.30000000000000004,0,0,Rotational
Alan Henderson,hendeal01,13780.0,28.1,0.7000000000000001,0,0,Starter
Alan Ogg,oggal01,686.0,0.8,-0.5,0,0,Rotational
Alan Sawyer,sawyeal01,0.0,0.9,0.0,0,0,Rotational
Alan Williams,willial03,872.0,2.5000000000000004,0.1,0,0,Rotational
Alando Tucker,tuckeal02,522.0,0.4,-0.30000000000000004,0,0,Rotational
Albert King,kingal01,12836.0,16.4,1.1,0,0,Starter
Alec Burks,burksal01,21917.0,38.5,7.9,0,0,Starter
Alec Kessler,kesslal01,2937.0,1.9999999999999998,-2.8,0,0,Rotational
Alec Peters,peteral01,225.0,0.3,0.0,0,0,Rotational
Aleem Ford,fordal03,74.0,-0.2,-0.2,0,0,Rotational
Aleksandar Djordjevic,djordal01,61.0,0.1,0.1,0,0,Rotational
