Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,TS%,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,PER ,3PAr,PProd,TRB%,OWS,DWS,WS,WS/40
Trendon Watford,LSU,SEC,SO,F,28,968,6.1,12.6,0.48,0.6,2,0.316,5.4,10.6,0.512,0.506,3.5,5.4,0.651,1.7,5.7,7.4,2.9,1.1,0.6,2.6,2.9,16.3,105.6,102.5,0.536,0.429,5.3,16.8,15.6,1.8,2,16.9,24.9,3.5,0.7,4.1,20.2,0.161,462,11.3,2.2,1.1,3.3,0.136
Jamir Watkins,Florida St.,ACC,SR,F,32,990,5.5,13,0.427,1.7,5.2,0.321,3.9,7.8,0.496,0.49,5.7,7.7,0.747,1,4.7,5.7,2.4,1.2,0.5,2.7,4.1,18.4,105.7,102.1,0.555,0.59,3.9,16.9,16.3,2.2,2,16.3,30.3,3.5,1,4.6,20.4,0.398,556,10.5,2.1,1.6,3.7,0.148
Peyton Watson,UCLA,P12,FR,F,32,405,1.2,3.7,0.322,0.2,1,0.226,1,2.7,0.356,0.352,0.7,1,0.688,0.9,2,2.9,0.8,0.6,0.6,0.9,5,3.3,83.6,90.7,0.394,0.271,8.1,18.7,10.1,2.8,5.3,21,21.2,-3.2,2.9,-0.3,11.2,0.263,120,13.3,-0.2,0.9,0.8,0.074
Jaylen Wells,Washington St.,P12,JR,F,34,994,4.1,9.4,0.436,2.1,4.9,0.417,2,4.4,0.457,0.545,2.3,2.8,0.811,1.2,3.4,4.6,1.2,0.5,0.1,0.7,2.5,12.5,125.4,103.1,0.584,0.298,5,13.1,7.9,1.1,0.5,7.4,18.9,5.2,1.1,6.3,18.6,0.527,393,9.2,3.1,1.4,4.5,0.181
Blake Wesley,Notre Dame,ACC,FR,G,34,998,5.1,12.6,0.401,1.5,5.1,0.302,3.5,7.6,0.467,0.462,2.8,4.1,0.667,0.7,3,3.7,2.4,1.3,0.1,2.2,2.6,14.4,94.4,100.4,0.494,0.329,2.9,11.4,17.4,2.6,0.2,15.2,30.7,0.3,0.4,0.7,16.9,0.404,491,7.5,1.1,1.4,2.5,0.098
Russell Westbrook,UCLA,P10,SO,G,38,1284,4.7,10.1,0.462,0.6,2,0.32,4,8.1,0.497,0.493,2.8,3.9,0.709,1.6,2.4,3.9,4.3,1.6,0.2,2.5,2.9,12.7,109,92.7,0.533,0.386,5.9,8.4,24,2.9,0.6,19.9,22.5,3.1,3.5,6.6,25.5,0.197,545,7.1,2,3.3,5.3,0.161
Coby White,North Carolina,ACC,FR,G,35,1000,5.4,12.7,0.423,2.3,6.7,0.352,3,6,0.502,0.516,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,2.7,16.1,108.7,98.1,0.556,0.293,1.3,11.4,24.4,2,1.3,19,26.1,4.7,2.3,7,19.2,0.523,538,6.4,2.4,1.7,4.1,0.165
Derrick White,Colorado,P12,SR,G,33,1083,6.2,12.1,0.51,1.7,4.3,0.401,4.5,7.8,0.57,0.581,4.2,5.3,0.805,1,3.1,4.1,4.4,1.2,1.4,2.4,2.7,18.1,121.1,103.2,0.627,0.435,3.5,10.7,28.3,2.2,4.8,16.6,25.9,8.7,2.9,11.7,27.3,0.356,603,7,4.5,1.4,5.9,0.211
Cam Whitmore,Villanova,BE,FR,F,26,709,4.7,9.8,0.478,1.4,4.2,0.343,3.3,5.7,0.578,0.551,1.7,2.5,0.703,0.8,4.5,5.3,0.7,1.4,0.3,1.6,2.5,12.5,103.6,98.8,0.571,0.251,3.7,20.3,6.4,3.2,1.6,15.1,24.3,3.1,2.1,5.3,20.5,0.424,288,12.1,1.1,1.2,2.3,0.13
Aaron Wiggins,Maryland,B10,JR,F,30,993,5.3,12,0.443,1.8,5.1,0.346,3.5,6.9,0.515,0.517,1.9,2.4,0.767,1.1,4.7,5.8,2.5,1.1,0.5,2,2.5,14.5,103.8,99.3,0.542,0.203,4.5,15.9,17.2,2.1,2,14.5,24.9,4.1,1.7,5.8,19.9,0.432,441,10.6,2.1,1.6,3.7,0.145
Andrew Wiggins,Kansas,B12,FR,F,35,1148,5.4,12.1,0.448,1.2,3.6,0.341,4.2,8.5,0.493,0.499,5,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1,2.3,3.3,17.1,112.3,101.7,0.563,0.538,8.4,12.3,9.2,2.1,3.1,15.9,25.1,5.1,1.8,7,21.4,0.299,564,10.4,3.2,1.7,4.9,0.17
Amari Williams,Kentucky,SEC,SR,C,36,819,3.8,6.8,0.561,0,0.1,0.25,3.8,6.7,0.566,0.563,3.2,5.1,0.623,2.1,6.4,8.5,3.2,0.6,1.2,2.3,3.9,10.9,111,100.5,0.587,0.744,10.3,29.7,24.7,1.4,6.1,20.5,26.9,4.5,4.2,8.7,24.1,0.016,444,20.4,2.1,1.4,3.5,0.173
Cody Williams,Colorado,P12,FR,F,24,675,4.5,8.1,0.552,0.7,1.7,0.415,3.8,6.4,0.588,0.595,2.3,3.2,0.714,0.7,2.3,3,1.6,0.6,0.7,2,2.8,11.9,109.4,105.2,0.62,0.397,3.3,9.2,10.4,1.3,2.4,20.5,20.1,2,1,2.9,15.7,0.211,256,6.4,1.2,0.8,2,0.118
Jalen Williams,Santa Clara,WCC,JR,G,33,1149,6.6,12.9,0.513,1.3,3.2,0.396,5.4,9.7,0.551,0.562,3.5,4.3,0.809,0.6,3.8,4.4,4.2,1.2,0.5,2.1,3,18,116.1,101.6,0.601,0.33,2,11.7,22.7,1.9,1.5,13.6,24.9,4.6,0.9,5.5,22.8,0.248,589,7.2,3.8,1.5,5.3,0.184
Jaylin Williams,Auburn,SEC,SR,F,34,820,4.5,7.8,0.574,1,2.5,0.395,3.5,5.3,0.659,0.638,2.5,3,0.832,1.1,3.4,4.4,1.9,0.7,0.7,1.1,2.9,12.4,129.9,97.7,0.674,0.381,5.1,14.7,14.8,1.7,2.9,13.3,20.1,6.9,3.1,9.9,18.9,0.231,417,17.2,1.9,3,4.9,0.167
Kenrich Williams,TCU,B12,SR,F,32,1153,4.8,10.2,0.475,1.4,3.6,0.391,3.4,6.6,0.521,0.544,2.1,3,0.688,2.8,6.5,9.3,3.9,1.8,0.5,2,2.8,13.2,117.8,102.3,0.567,0.294,9.7,21.5,18.1,2.8,1.4,16.5,19.5,5.2,2.7,7.9,20.6,0.351,464,15.7,3,1.6,4.6,0.158
Mark Williams,Duke,ACC,SO,C,39,922,4.9,6.8,0.718,0,0,0,4.9,6.8,0.721,0.718,1.4,2,0.727,2.6,4.9,7.5,0.9,0.5,2.8,0.9,3.5,11.2,138.6,92.1,0.724,0.289,13.2,21.4,6.9,1.3,11.3,12.3,18.6,7.8,4.3,12.1,33.1,0.004,407,17.5,4.3,2,6.3,0.271
Patrick Williams,Florida St.,ACC,FR,F,29,651,3.3,7.2,0.457,0.6,1.7,0.32,2.7,5.4,0.5,0.495,2.1,2.6,0.838,1.3,2.7,4,1,1,1,1.7,2.9,9.2,104.2,92.9,0.551,0.356,6.8,13.9,8.4,2.6,5.6,20.2,21.9,1.8,2.7,4.5,19.4,0.242,258,10.5,1.2,1.3,2.5,0.154
Ziaire Williams,Stanford,P12,FR,F,20,558,3.8,10.2,0.374,1.1,4,0.291,2.6,6.2,0.427,0.431,1.9,2.5,0.796,0.5,4,4.6,2.2,0.8,0.6,2.9,3.4,10.7,85,98,0.473,0.241,2.4,16.4,16.4,1.7,2.2,23.2,25.8,-1.6,1.3,-0.3,11.2,0.389,213,9.9,-0.2,0.9,0.6,0.046
Vince Williams Jr.,VCU,A10,SR,F,30,973,4.6,9.6,0.477,2.2,5.6,0.387,2.4,4,0.605,0.591,2.8,3.4,0.814,0.9,5.1,6,3,1.6,1.1,2.9,3.6,14.1,108.2,87.8,0.629,0.355,3.5,17.7,19.6,2.9,3.8,23,22.5,4.4,4.3,8.7,20.7,0.585,405,11,2.1,2.5,4.6,0.191
Zion Williamson,Duke,ACC,FR,F,33,989,9,13.2,0.68,0.7,2.2,0.338,8.2,11,0.747,0.708,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.8,22.6,129.2,86.8,0.702,0.467,12.8,18,15,3.9,5.8,15.2,28.2,12.8,5.9,18.7,40.8,0.163,663,15.5,5.5,2.8,8.3,0.335
Jalen Wilson,Kansas,B12,JR,F,36,1273,6.9,16,0.43,1.9,5.8,0.337,4.9,10.2,0.482,0.49,4.4,5.5,0.799,1.6,6.7,8.2,2.2,0.9,0.5,2.3,2.4,20.1,106.2,96.4,0.54,0.346,5.2,20.8,12.5,1.5,1.4,13.4,28.2,4.6,1.3,5.9,21,0.362,667,13.3,2.9,2.4,5.3,0.168
James Wiseman,Memphis,Amer,FR,C,3,69,6.7,8.7,0.769,0,0.3,0,6.7,8.3,0.8,0.769,6.3,9,0.704,4.3,6.3,10.7,0.3,0.3,3,1,2.9,19.7,140.6,80,0.76,1.038,21.8,26.5,4.4,0.8,13.6,8.8,26.8,11.9,5.3,17.2,52.7,0.038,48,24.4,0.5,0.2,0.7,0.434
Danny Wolf,Michigan,B10,JR,C,37,1128,5,10.1,0.497,1,3.1,0.336,4,7.1,0.567,0.548,2.1,3.6,0.594,2.3,7.4,9.7,3.6,0.7,1.4,3.2,2.7,13.2,103.5,94.9,0.559,0.356,9.1,25,22.8,1.3,4.6,23.9,25.2,3.8,4.5,8.3,19.4,0.302,520,17.7,1.5,2.5,4.1,0.144
Jahmir Young,Maryland,B10,SR,G,32,1131,6.2,15.4,0.404,1.8,5.4,0.324,4.5,10,0.447,0.46,6.2,6.9,0.9,1,3.8,4.9,4.2,1.3,0.3,2.7,1.4,20.4,110.9,99.7,0.546,0.446,3.2,12.9,30,2.3,0.9,15,30.7,7,2.7,9.7,23.5,0.351,644,7.9,3.4,1.9,5.3,0.188
Trae Young,Oklahoma,B12,FR,G,32,1133,8.2,19.3,0.423,3.7,10.2,0.361,4.5,9.1,0.493,0.519,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.2,5.2,2,27.4,112.1,106.9,0.586,0.444,1.3,9.9,48.3,2.5,0.7,20,38.4,9.4,0.8,10.1,28.3,0.532,935,5.8,4.6,1.1,5.7,0.201
Chris Youngblood,Alabama,SEC,SR,F,28,709,3.4,7.7,0.447,2.1,5.4,0.388,1.3,2.2,0.587,0.584,1.3,1.6,0.804,0.9,1.4,2.3,0.9,0.7,0.2,1.1,3.5,10.3,119.3,111.2,0.608,0.214,3.9,5.4,5.6,1.4,0.9,14.2,15.7,3.6,1.4,4.9,13,0.707,253,4.7,1.4,0.5,1.9,0.109
Tristan da Silva,Colorado,P12,SR,F,34,1156,5.8,11.8,0.492,1.9,4.8,0.395,3.9,7,0.559,0.573,2.5,3,0.835,0.9,4.1,5.1,2.4,1.1,0.6,1.8,2.4,16,118,102.8,0.606,0.258,3.6,13.7,13.4,2,1.7,14.5,21.2,4.6,1.6,6.2,19.8,0.405,497,9,3.1,1.6,4.7,0.164
Donovan Mitchell,Louisville,ACC,SO,G,34,1098,5.3,13.1,0.408,2.4,6.6,0.354,3,6.4,0.463,0.498,2.6,3.2,0.806,1.1,3.8,4.9,2.7,2.1,0.5,1.6,3.2,15.6,114.4,93.2,0.534,0.243,3.7,12.9,16,3.7,1.7,12.7,23.3,5.3,4.8,10.1,21.8,0.509,502,8.3,3,2.4,5.4,0.197
Kyle Anderson,UCLA,P12,SO,F,36,1196,5,10.5,0.48,0.8,1.6,0.483,4.2,8.9,0.48,0.517,3.8,5.2,0.737,1.2,7.5,8.8,6.5,1.8,0.8,3.1,2,14.6,110.6,94.3,0.566,0.493,4.5,25.5,34.3,3.1,2.7,20.2,26,6,4,10,24.7,0.154,603,15.4,3.1,2.6,5.6,0.189
Gary Harris,Michigan St.,B10,SO,G,35,1131,5.6,13,0.429,2.3,6.6,0.352,3.3,6.4,0.507,0.518,3.3,4.1,0.81,1.1,2.9,4,2.7,1.8,0.4,1.7,2.6,16.7,114.4,98.3,0.561,0.312,4,10.2,16.8,3.4,1.6,12.7,25.3,6.4,2.9,9.3,22.5,0.505,542,7.3,3.3,2,5.3,0.188
Isaiah Jackson,Kentucky,SEC,FR,C,25,516,3,5.5,0.54,0,0.1,0,3,5.4,0.548,0.54,2.5,3.6,0.7,2.1,4.5,6.6,0.7,0.8,2.6,1.5,5.8,8.4,108,89.6,0.587,0.657,11.3,23.4,7.5,2.1,12.8,19.8,21.3,1.9,5.5,7.4,25.3,0.015,208,17.3,1.2,1.2,2.4,0.187
Cameron Johnson,North Carolina,ACC,SR,F,36,1078,5.9,11.6,0.505,2.7,5.8,0.457,3.2,5.8,0.553,0.62,2.5,3.1,0.818,1.8,3.9,5.8,2.4,1.2,0.3,1.5,2,16.9,128.9,97.4,0.647,0.263,6.5,13.4,13.8,2.1,1.1,12.8,20.7,9,3.1,12.1,24.9,0.504,545,10,4.3,1.9,6.2,0.229
Jalen Johnson,Duke,ACC,FR,C,13,278,4.4,8.3,0.528,0.6,1.4,0.444,3.8,6.9,0.544,0.565,1.8,2.9,0.632,1.5,4.5,6,2.2,1.2,1.2,2.5,4.2,11.2,102.6,94.7,0.579,0.352,7.9,25.3,20.5,3.1,6,23.8,28.8,4,3.7,7.7,25.8,0.165,143,16.6,0.6,0.5,1.1,0.162
Isaac Jones,Washington St.,P12,SR,C,35,1113,5.7,9.9,0.575,0,0.4,0.071,5.7,9.5,0.596,0.577,3.9,5.5,0.715,2.3,5.3,7.6,1.5,0.5,1,1.9,2.6,15.3,117.7,99.3,0.614,0.558,8.5,19,9.8,1,3.3,15.3,23.6,4.5,2.1,6.7,23.7,0.04,513,13.9,3.4,2,5.4,0.194
Tre Jones,Duke,ACC,SO,G,29,1028,5.6,13.2,0.423,1.3,3.7,0.361,4.2,9.5,0.447,0.474,3.7,4.8,0.771,0.7,3.6,4.2,6.4,1.8,0.3,2.7,2,16.2,110.8,93.7,0.524,0.366,2.1,10.8,31.4,2.8,0.9,16.8,24.6,4.6,2.3,6.9,21.2,0.282,513,6.5,3,2,4.9,0.192
A.J. Lawson,South Carolina,SEC,SO,F,31,903,4.4,10.5,0.414,1.8,5.4,0.339,2.5,5.1,0.494,0.502,2.9,4,0.724,0.5,3.2,3.7,1.9,1.2,0.1,2,3,13.4,103.1,97.7,0.541,0.377,1.9,12.3,12.4,2.3,0.5,17,22.2,2.3,1.3,3.6,17.9,0.566,306,7.1,1.4,0.5,1.9,0.114
Isaiah Stevens,Colorado St.,MWC,SR,G,34,1182,5.8,12.4,0.468,1.7,4.1,0.421,4.1,8.3,0.491,0.538,2.6,3.1,0.841,0.5,2.7,3.2,6.8,1.2,0.2,2.4,1.7,16,114.9,104.2,0.575,0.253,1.7,8.9,38.8,2.1,0.5,15.6,26,5.4,1.2,6.6,21.2,0.34,627,5.6,3.8,1.8,5.5,0.177
Brandon Williams,Arizona,P12,FR,G,26,731,3.3,8.9,0.377,1.4,4.4,0.316,2,4.5,0.436,0.455,3.3,4,0.819,0.2,2.6,2.8,3.3,0.8,0.2,1.8,2.8,11.4,105.4,100.9,0.527,0.455,0.8,11.1,23.7,1.7,0.8,16.1,22.9,1.6,1.7,3.3,16,0.494,301,5.7,1.4,1,2.4,0.13
Grant Williams,Tennessee,SEC,JR,F,36,1148,6.4,11.2,0.565,0.4,1.2,0.318,6,10,0.596,0.583,5.9,7.2,0.818,2.2,5.3,7.5,3.2,1.1,1.5,2.2,3.8,18.8,124.5,97,0.647,0.637,8.8,17.4,18.3,2,5.3,15.2,27,8.1,3.7,11.8,30.6,0.111,686,13.3,5.6,2.3,7.9,0.267
Jaylin Williams,Arkansas,SEC,SO,C,37,1171,3.8,8.3,0.461,0.5,1.9,0.239,3.4,6.4,0.527,0.489,2.8,3.8,0.729,1.5,8.3,9.8,2.6,1.3,1.1,1.8,3.3,10.9,106,88.4,0.538,0.455,5.3,29.3,15.3,2.3,4,17,18.6,2.2,4.7,6.8,18.9,0.231,417,17.2,1.9,3,4.9,0.167
