Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,TS%,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,PER ,3PAr,PProd,TRB%,OWS,DWS,WS,WS/40
Cam Spencer,Connecticut,BE,SR,G,40,1312,4.9,10.1,0.484,2.5,5.6,0.44,2.4,4.5,0.539,0.606,2,2.2,0.911,1,3.8,4.8,3.6,1.5,0.2,1,2.6,14.3,137.1,96.6,0.64,0.222,4,12.5,18.9,2.7,0.8,10,18.5,7.2,4,11.2,22.8,0.556,550,8.5,5.2,2.6,7.9,0.239
Pat Spencer,Northwestern,B10,SR,G,31,908,3.9,9,0.436,0.4,1.6,0.235,3.5,7.4,0.48,0.457,2.1,2.6,0.815,0.7,3.5,4.1,3.9,0.8,0.2,2.3,2.8,10.4,96.4,104.8,0.505,0.289,2.7,12.9,29.2,1.6,0.9,19.4,23.8,0.8,0.5,1.2,15.5,0.182,347,7.9,0.9,0.7,1.7,0.074
Isaiah Stevens,Colorado St.,MWC,SR,G,34,1182,5.8,12.4,0.468,1.7,4.1,0.421,4.1,8.3,0.491,0.538,2.6,3.1,0.841,0.5,2.7,3.2,6.8,1.2,0.2,2.4,1.7,16,114.9,104.2,0.575,0.253,1.7,8.9,38.8,2.1,0.5,15.6,26,5.4,1.2,6.6,21.2,0.34,627,5.6,3.8,1.8,5.5,0.177
Isaiah Stewart,Washington,P12,FR,C,32,1034,6,10.5,0.57,0.2,0.6,0.25,5.8,9.9,0.59,0.577,4.8,6.2,0.774,2.8,6,8.8,0.8,0.5,2.1,2.2,3.2,17,115.7,92.6,0.629,0.591,10.6,19.4,6.3,0.9,7,16.1,24.2,4.5,2.1,6.6,26.9,0.059,510,15.5,3.7,2,5.7,0.222
Julian Strawther,Gonzaga,WCC,JR,F,36,1123,5.2,11.1,0.468,2.2,5.4,0.405,3,5.7,0.527,0.566,2.9,3.6,0.792,0.8,5.5,6.2,1.3,0.8,0.4,1.5,2.6,15.3,117.4,103.5,0.602,0.325,3,19.6,6.7,1.4,1.5,12.9,20.6,4.5,0.5,5,19.7,0.484,500,11.7,3.2,1.6,4.8,0.165
Max Strus,DePaul,BE,SR,F,35,1310,6.6,15.5,0.429,3.2,8.9,0.363,3.4,6.6,0.517,0.533,3.7,4.3,0.842,1.1,4.8,5.9,2.2,0.9,0.5,2,3.1,20.1,115.8,107.9,0.575,0.281,3.5,14.7,11.3,1.4,1.6,12.7,23.4,4.9,-1,3.9,20.3,0.575,638,9.1,3.9,1,4.9,0.15
Jalen Suggs,Gonzaga,WCC,FR,G,30,868,5.1,10.2,0.502,1.2,3.5,0.337,4,6.8,0.586,0.559,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,3.6,14.3,110.4,90.2,0.594,0.371,2.7,18,23.7,3.5,1.1,21.5,25.3,4.3,4.2,8.5,22.6,0.338,454,11,2.5,2.1,4.6,0.21
Jae'Sean Tate,Ohio St.,B10,SR,F,34,1006,5,9,0.557,0.3,1,0.314,4.7,8,0.588,0.575,1.9,3.2,0.591,1.3,4.9,6.2,2.9,1.1,0.6,2.2,4.3,12.3,108.6,96.6,0.582,0.358,5.4,18.9,18.7,2.1,2.2,19.3,22.7,2.6,3.4,6,19.8,0.114,422,12.5,2,1.9,4,0.158
Jayson Tatum,Duke,ACC,FR,F,29,966,5.7,12.6,0.452,1.4,4,0.342,4.3,8.6,0.504,0.507,4.1,4.8,0.849,1.3,6,7.3,2.1,1.3,1.1,2.6,3.6,16.8,108.9,96.6,0.566,0.381,4.9,19.7,12.4,2.3,3.2,17.7,25.4,4,2.6,6.7,22,0.321,467,12.6,2.3,1.8,4.1,0.169
Jahmyl Telfort,Butler,BE,SR,F,33,1162,5.4,11.5,0.471,1.3,3.6,0.361,4.1,7.9,0.521,0.528,3.9,5,0.771,1,3.6,4.7,3.4,1,0.3,2.2,2.2,16,111.9,111.2,0.576,0.437,3.6,11.2,20.2,1.7,0.9,15.4,24.1,3.7,0.6,4.2,18.5,0.313,530,7.7,2.7,0.9,3.5,0.121
