player,pos,exp,num,hgt,team,conf,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,year,id,fgm,ftm,fta,ft_pct,two_m,two_a,two_pct,three_m,three_a,three_pct,dunk_m,dunk_a,dunk_pct,rim_m,rim_a,rim_pct,mid_m,mid_a,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,rec,pick,fga,fg_pct
JD Davison,Scoring PG,Fr,3.0,6-3,Alabama,SEC,33,64.3,25.8182,8.5455,1.0909,3.6667,4.7576,4.3333,2.87879984905052,1.50524532,0.9697,0.3636,20.7,102.6,52.1,55.85,2022,74810,99,59,81,0.728,74,131,0.565,25,83,0.301,9.0,9.0,1.0,60.0,96.0,0.625,14.0,35.0,0.4,2.22647,2.67291,110.344,104.249,97.4496,162.887,2.97196,1.19231,4.16427,4.5,15.1,29.4,29.2,1.4,2.1,37.9,1.9,98.0,54.0,214,0.462616822429907
DeMar DeRozan,,Fr,,6-7,USC,P10,35,82.8,33.3714,13.8571,2.4,3.3429,5.7429,1.4571,2.08569998229925,0.69861438,0.8857,0.3714,22.3,108.2,53.1,55.51,2009,5417,192,95,147,0.646,186,331,0.562,6,36,0.167,,,,,,,,,,3.50594,4.01033,115.699,99.6449,91.3877,189.502,3.50114,1.44019,4.94133,9.3,11.6,9.6,17.1,1.2,1.6,40.1,2.5,99.0,9.0,367,0.523160762942779
RayJ Dennis,Combo G,Fr,10.0,6-2,Boise St.,MWC,31,42.5,17.375,4.125,0.125,1.625,1.75,1.7812,0.937499973683472,1.89994672,0.4062,0.0625,15.2,95.2,41.4,46.95,2020,71997,37,27,33,0.818,20,38,0.526,17,72,0.236,2.0,2.0,1.0,12.0,17.0,0.7059,8.0,21.0,0.381,0.280167,1.67503,90.0871,101.275,98.9657,92.3159,-1.5852,0.825177,-0.760026,0.9,11.5,19.2,20.3,0.4,1.3,30.0,2.5,6.0,,110,0.336363636363636
RayJ Dennis,Combo G,So,10.0,6-2,Boise St.,MWC,27,67.6,27.1786,8.5714,0.2143,2.75,2.9643,2.8571,1.42859995099729,1.99993007,1.2143,0.1786,17.9,104.8,50.5,52.73,2021,71997,90,29,40,0.725,67,124,0.54,23,77,0.299,3.0,3.0,1.0,37.0,48.0,0.7708,30.0,76.0,0.3947,1.70093,3.06857,103.395,96.6271,94.5313,140.801,-0.0894518,2.22005,2.1306,1.0,12.0,19.9,16.6,0.6,2.4,19.9,3.1,6.0,,201,0.447761194029851
RayJ Dennis,Combo G,Jr,10.0,6-2,Toledo,MAC,33,85.0,33.7353,12.7353,1.0588,4.5588,5.6176,4.0,2.23530006880477,1.78946892,0.8235,0.0588,20.5,108.6,53.4,55.49,2022,71997,169,56,79,0.709,144,258,0.558,25,82,0.305,4.0,6.0,0.6667,88.0,139.0,0.6331,56.0,119.0,0.4706,2.53172,3.02764,106.857,101.389,101.736,201.614,0.729011,-0.0527333,0.676278,3.6,13.4,19.9,18.6,0.2,1.3,23.2,2.4,6.0,,340,0.497058823529412
RayJ Dennis,Scoring PG,Jr,10.0,6-2,Toledo,MAC,34,84.9,33.8857,19.5143,0.8286,3.5714,4.4,5.6857,1.9714000431179,2.88409246,1.4571,0.1714,28.6,119.5,53.1,56.01,2023,71997,257,98,126,0.778,206,392,0.526,51,140,0.364,3.0,3.0,1.0,116.0,185.0,0.627,90.0,207.0,0.4348,5.04849,2.31859,130.059,108.73,109.561,206.919,5.83624,-0.978803,4.85744,2.7,12.1,31.6,11.5,0.6,2.4,23.7,2.3,6.0,,532,0.483082706766917
RayJ Dennis,Pure PG,Sr,10.0,6-2,Baylor,B12,34,84.7,34.3429,13.5714,0.4571,3.4,3.8571,6.7714,3.57139993983145,1.8960072,1.4286,0.0571,25.0,109.0,52.8,55.65,2024,71997,172,76,104,0.731,133,246,0.541,39,117,0.333,2.0,2.0,1.0,65.0,109.0,0.5963,68.0,137.0,0.4964,4.06578,3.57301,123.17,106.003,100.176,192.163,3.32966,0.63922,3.96888,1.8,12.4,37.4,24.5,0.2,2.2,28.7,3.0,6.0,,363,0.473829201101928
Donte DiVincenzo,Stretch 4,Fr,10.0,6-5,Villanova,BE,9,4.6,8.2222,1.6667,1.1111,0.6667,1.7778,0.4444,0.777800005635725,0.5713551,0.4444,0.0,21.5,81.8,35.7,35.71,2016,40884,6,0,0,0.0,3,4,0.75,3,17,0.176,0.0,0.0,,3.0,4.0,0.75,0.0,0.0,,-0.0766679,1.12301,85.2332,94.9433,90.5594,13.9636,-3.83154,1.84834,-1.98319,17.4,8.9,9.1,26.2,0.0,3.2,0.0,5.4,75.4,17.0,21,0.285714285714286
Donte DiVincenzo,Wing G,So,10.0,6-5,Villanova,BE,36,63.8,25.5278,8.8333,1.0278,2.7778,3.8056,1.6944,1.44439999838034,1.17308225,0.9167,0.2778,19.1,112.0,55.6,58.15,2017,40884,109,58,83,0.699,67,119,0.563,42,115,0.365,10.0,14.0,0.7143,45.0,72.0,0.625,22.0,46.0,0.4783,2.48328,3.36449,115.825,96.9108,91.8095,163.741,2.94188,2.51626,5.45815,5.5,12.7,12.0,18.1,1.3,2.2,35.5,2.5,75.4,17.0,234,0.465811965811966
Donte DiVincenzo,Wing G,So,10.0,6-5,Villanova,BE,40,72.5,29.275,13.425,1.15,3.6,4.75,3.475,1.97500007956835,1.7594936,1.05,0.2,22.8,119.5,59.0,60.77,2018,40884,188,76,107,0.71,103,179,0.575,85,212,0.401,10.0,10.0,1.0,72.0,111.0,0.6486,31.0,67.0,0.4627,4.29556,3.60254,130.481,100.427,94.0025,215.984,5.78844,2.31335,8.10179,4.9,13.8,20.0,17.0,0.7,2.1,27.4,2.8,75.4,17.0,391,0.480818414322251
