Name,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Al Horford,Florida,SEC,JR,F,38,36,1058,7,11.6,0.608,0,0.1,0,7,11.5,0.612,0.608,4.9,7.6,0.644,3.6,10,13.6,3.1,1.1,2.6,2.6,3.6,19,0,0,24.5,0.624,0.007,0.66,0,0,0,17.2,0,0,4.7,14.5,17.8,3.5,4,7.5,0.283,0,0,0
Bones Hyland,VCU,A-10,SO,G,24,24,766,7.9,17.8,0.447,3.6,9.7,0.371,4.3,8,0.539,0.549,4.9,5.7,0.862,0.2,5.7,5.9,2.6,2.3,0.2,3.9,2.8,24.4,107.8,91.2,23.7,0.596,0.547,0.321,408,0.7,16.3,8.9,16,3.5,0.6,15.9,31.8,2,1.8,3.8,0.201,5.5,2.7,8.2
GG Jackson,South Carolina,SEC,FR,F,32,29,1021,6.9,18.1,0.384,2.2,6.7,0.324,4.8,11.4,0.419,0.444,3.3,4.9,0.677,1.9,5.5,7.4,1.1,0.9,1,3.4,1.9,19.3,93.3,109.8,14.9,0.474,0.369,0.269,444,5.4,17,10.9,6.6,1.4,2.8,14.2,30.8,0.3,0.7,1,0.04,1.2,-1.3,-0.1
Kasparas Jakucionis,Illinois,Big Ten,FR,G,33,33,1051,5.7,12.9,0.44,2.1,6.5,0.318,3.6,6.4,0.562,0.519,5.4,6.4,0.845,1.8,5.4,7.2,5.9,1.1,0.3,4.7,3.3,18.8,112.1,105.2,17.4,0.59,0.501,0.496,529,4.9,13.6,9.5,26,1.5,0.8,22.7,24.2,2.2,1.5,3.7,0.141,4,2.6,6.6
Trey Jemison,UAB,CUSA,SR,C,39,39,981,5.7,9.7,0.586,0,0,0,5.7,9.7,0.588,0.586,3.1,4.8,0.644,4.3,9.1,13.4,0.8,0.9,2.7,1.7,4.4,14.5,123.7,92.9,22,0.603,0.004,0.494,350,11.7,24.3,18.1,3.7,1.3,7.4,12.2,16.3,2.5,2.3,4.8,0.194,1.8,2.5,4.3
David Jones Garcia,Memphis,AAC,JR,F,32,32,1035,8.6,18.8,0.459,3.1,8,0.38,5.6,10.7,0.518,0.54,6.7,8.4,0.797,3.2,6.3,9.4,2.3,2.7,0.5,3.7,2.4,27,117.3,101.8,27.2,0.592,0.428,0.447,652,8.9,16.7,12.9,11.9,3.8,1.5,14,31.5,3.6,1.7,5.2,0.203,7.3,1.5,8.8
Jonathan Kuminga,GLI,Other,FR,F,13,13,426,6.1,15.7,0.387,1.4,5.5,0.246,4.7,10.2,0.463,0.43,2.5,4.1,0.625,1.3,6.6,7.9,3,1.1,0.9,2.9,2.3,17.4,90,111,11.5,0.497,0.349,0.258,0,4,19.2,11.9,12.2,1.5,2.4,14.1,24.5,-0.7,0.5,-0.3,-0.03,0,0,0
Kyle Lowry,Villanova,Big East,SO,G,33,31,967,4.8,10.4,0.466,0.3,0.7,0.444,4.5,9.6,0.468,0.482,5,6.4,0.786,2.5,3.4,5.9,5,3.2,0.3,2.9,3.9,15,0,0,24.5,0.56,0.072,0.614,0,0,0,8.3,25.9,0,0.6,17.8,20.4,1.9,3.1,4.9,0.204,0,0,0
CJ McCollum,Lehigh,Patriot,SR,G,12,11,372,10.3,20.9,0.495,3.5,6.9,0.516,6.8,14,0.485,0.58,6.7,7.8,0.849,1.3,5.2,6.5,3.8,1.8,0.4,3.4,2.3,30.9,118.5,98.1,34.7,0.628,0.33,0.376,250,4,15.8,10,24.9,2.7,1.2,12.3,37.2,1.9,0.6,2.4,0.261,9,0.3,9.3
Leonard Miller,GLI,Other,FR,F,24,19,733,8.5,15.4,0.556,0.8,2.6,0.327,7.7,12.8,0.602,0.583,1.9,2.4,0.792,3.8,9.1,13,1.9,1.1,1,1.8,2.9,21.2,120,118,22.3,0.645,0.166,0.153,0,11.7,27.9,19.8,8.7,1.5,2.5,9.7,22.5,0.9,0.8,1.7,0.113,0,0,0
Yanic Konan Niederhauser,Penn St.,Big Ten,JR,F,29,29,728,7.9,12.9,0.611,0.1,0.6,0.091,7.8,12.3,0.637,0.613,4.8,7.2,0.664,3.3,6.8,10.1,1.2,1,3.7,2.6,4,20.5,118.9,100.2,24.3,0.631,0.047,0.56,342,10,19.9,15.1,6.1,1.5,10.2,13.9,23.5,1.9,1.4,3.3,0.179,2.9,3.1,6.1
Kelly Oubre,Kansas,Big 12,FR,G,36,27,756,5.8,13.1,0.444,1.8,5,0.358,4,8.1,0.497,0.512,4.2,5.8,0.718,2.2,7.3,9.5,1.5,2.2,0.7,2.3,3.8,17.6,112,92.6,21.1,0.555,0.383,0.444,303,6.4,19.2,13.2,8.1,3.3,1.8,12.5,23.1,1.7,1.7,3.4,0.18,4.7,4.1,8.8
Chris Paul,Wake Forest,ACC,SO,G,32,31,1069,5.4,11.9,0.451,1.7,3.6,0.474,3.6,8.2,0.441,0.524,5.8,7,0.834,0.8,4.6,5.4,7.9,2.8,0,3.3,3.1,18.3,0,0,0,0.601,0.306,0.59,0,0,0,7.5,33.8,0,0.1,18,21.5,2.9,1.6,4.6,0.171,0,0,0
Jabari Smith Jr.,Auburn,SEC,FR,F,34,34,978,7.5,17.5,0.429,3.2,7.7,0.42,4.3,9.8,0.435,0.521,5.4,6.7,0.799,1.3,9,10.3,2.8,1.5,1.4,2.6,2.9,23.6,116.5,90.7,25.1,0.57,0.44,0.384,519,3.5,23.5,13.6,14,2.1,3.8,11.1,27.6,3.2,2.3,5.6,0.227,7.4,3.8,11.1
Cam Thomas,LSU,SEC,FR,G,29,29,986,8.2,20.3,0.406,2.8,8.5,0.325,5.5,11.8,0.464,0.474,7.9,8.9,0.882,0.7,3.2,4,1.7,1,0.2,2,1.6,27.1,117.9,109.4,24.1,0.553,0.418,0.44,600,2,8.2,5.2,8.3,1.4,0.7,7.5,31.6,4,0.5,4.5,0.183,7.1,-0.8,6.3
PJ Washington,Kentucky,SEC,SO,F,35,33,1024,7.4,14.2,0.522,1.3,3,0.423,6.1,11.2,0.549,0.567,4.6,7,0.663,3.2,7.1,10.3,2.5,1.1,1.7,2.7,3.4,20.7,119.5,93.9,26,0.592,0.214,0.489,508,10,19.9,15.3,13.1,1.7,4.8,13.3,25.8,3.5,2.2,5.7,0.223,6.9,4,10.9
Robert Williams III,Texas A&M,SEC,SO,F,30,23,769,7.2,11.4,0.632,0,0.6,0,7.2,10.8,0.668,0.632,1.7,3.6,0.471,3.7,10.7,14.4,2.2,1.2,4.1,2.7,3.4,16.2,113.8,90.2,25.5,0.614,0.055,0.318,296,10.2,26.8,18.9,10.8,1.8,10.4,17,19,1.5,2,3.5,0.184,4.5,6.2,10.6
