Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Jarace Walker,Houston,1,0,1,36,998.0,4.4,9.4,0.463,1.0,2.8,0.347,3.4,6.6,0.513,0.515,1.5,2.2,0.662,2.3,4.5,6.8,1.8,1.0,1.3,1.5,3.0,11.2,112.3,86.3,22.1,0.533,0.297,0.236,9.5,18.1,14.0,12.4,2.2,6.2,14.9,22.0,2.4,2.8,5.2,0.211,4.0,3.7,7.7,walkeja02
Jaren Jackson Jr.,Michigan St.,3,0,2,35,765.0,3.4,6.6,0.513,1.1,2.7,0.396,2.3,3.9,0.596,0.595,3.0,3.8,0.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,5.9,10.9,116.8,85.9,26.9,0.647,0.414,0.573,8.7,19.7,15.0,9.3,1.6,14.2,20.8,22.8,2.3,2.2,4.6,0.239,3.9,6.7,10.6,jacksja02
Jarred Vanderbilt,Kentucky,3,0,2,14,238.0,2.1,4.9,0.426,0.0,0.1,0.0,2.1,4.8,0.433,0.426,1.7,2.7,0.632,3.3,4.6,7.9,1.0,0.4,0.8,1.1,6.2,5.9,107.3,92.9,21.6,0.476,0.015,0.559,23.2,27.9,25.7,10.7,1.4,5.3,15.7,22.9,0.5,0.5,1.0,0.172,3.0,2.1,5.0,vandeja01
Jarrett Allen,Texas,3,0,2,33,1061.0,5.4,9.6,0.566,0.0,0.2,0.0,5.4,9.4,0.579,0.566,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.6,13.4,101.9,99.0,20.3,0.571,0.022,0.472,11.0,18.8,14.9,5.5,1.0,5.0,20.1,22.9,1.5,1.7,3.3,0.124,2.0,2.1,4.1,allenja01
Javonte Green,Radford,1,3,1,31,813.0,5.5,10.2,0.533,0.0,0.3,0.111,5.4,9.9,0.545,0.535,4.7,6.7,0.702,2.9,6.2,9.0,1.3,1.9,0.9,2.0,3.9,15.4,112.8,91.2,33.4,0.583,0.026,0.656,12.3,27.2,20.0,11.0,4.4,3.5,15.6,29.8,3.5,2.2,5.7,0.256,5.7,1.9,7.5,greenja02
Jaxson Hayes,Texas,3,0,2,32,747.0,3.8,5.3,0.728,0.0,0.0,0.0,3.8,5.3,0.728,0.728,2.3,3.1,0.74,1.8,3.2,5.0,0.3,0.6,2.2,0.9,5.7,10.0,133.8,94.8,27.0,0.739,0.0,0.592,8.8,16.2,12.5,2.6,1.5,10.6,13.9,16.9,2.8,1.5,4.3,0.23,4.0,5.0,9.0,hayesja02
Jaylen Brown,California,3,0,1,34,939.0,4.8,11.1,0.431,0.9,3.0,0.294,3.9,8.1,0.482,0.471,4.2,6.4,0.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,4.6,14.6,95.4,96.2,17.6,0.518,0.27,0.574,4.5,16.5,10.8,15.1,1.7,2.2,21.0,30.9,1.0,1.8,2.7,0.117,0.6,2.0,2.6,brownja02
Jaylen Wells,Washington St.,3,2,1,34,994.0,4.1,9.4,0.436,2.1,4.9,0.417,2.0,4.4,0.457,0.545,2.3,2.8,0.811,1.2,3.4,4.6,1.2,0.5,0.1,0.7,2.5,12.5,125.4,103.1,18.6,0.584,0.527,0.298,5.0,13.1,9.2,7.9,1.1,0.5,7.4,18.9,3.1,1.4,4.5,0.181,5.2,1.1,6.3,wellsja01
Jaylin Williams,Arkansas,3,1,2,37,1171.0,3.8,8.3,0.461,0.5,1.9,0.239,3.4,6.4,0.527,0.489,2.8,3.8,0.729,1.5,8.3,9.8,2.6,1.3,1.1,1.8,3.3,10.9,106.0,88.4,18.9,0.538,0.231,0.455,5.3,29.3,17.2,15.3,2.3,4.0,17.0,18.6,1.9,3.0,4.9,0.167,2.2,4.7,6.8,willija07
Jayson Tatum,Duke,3,0,1,29,966.0,5.7,12.6,0.452,1.4,4.0,0.342,4.3,8.6,0.504,0.507,4.1,4.8,0.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.6,16.8,108.9,96.6,22.0,0.566,0.321,0.381,4.9,19.7,12.6,12.4,2.3,3.2,17.7,25.4,2.3,1.8,4.1,0.169,4.0,2.6,6.7,tatumja01
