Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Kevin Love,UCLA,3,0,1,38,1126.0,5.8,10.4,0.556,0.8,2.2,0.354,5.0,8.3,0.608,0.592,5.1,6.6,0.769,3.6,7.0,10.6,1.9,0.7,1.4,2.0,2.6,17.5,127.0,85.7,25.5,0.642,0.202,0.634,15.3,28.6,22.1,13.8,1.5,5.0,14.8,27.2,5.6,5.7,11.3,0.391,10.7,3.9,14.6,loveke01
Kevin Porter Jr.,USC,3,0,1,21,464.0,3.5,7.5,0.471,1.3,3.2,0.412,2.2,4.2,0.517,0.561,1.1,2.2,0.522,1.0,3.0,4.0,1.4,0.8,0.5,1.9,3.8,9.5,98.4,100.1,16.2,0.559,0.433,0.293,4.8,15.0,10.0,12.0,2.1,2.6,20.8,22.8,0.5,0.7,1.2,0.1,1.4,1.0,2.4,porteke02
Kevon Looney,UCLA,3,0,2,36,1114.0,4.2,8.9,0.47,0.6,1.5,0.415,3.6,7.4,0.481,0.505,2.6,4.1,0.626,3.4,5.8,9.2,1.4,1.3,0.9,1.2,3.7,11.6,113.0,96.2,21.9,0.532,0.165,0.458,12.2,21.0,16.6,9.1,2.5,3.3,11.9,20.0,2.8,2.0,4.8,0.172,4.4,1.9,6.3,looneke01
Keyonte George,Baylor,3,0,0,33,946.0,4.7,12.5,0.376,2.3,6.9,0.338,2.4,5.6,0.424,0.47,3.6,4.5,0.793,1.0,3.2,4.2,2.8,1.1,0.2,2.9,3.0,15.3,102.7,103.5,17.8,0.523,0.553,0.364,4.2,13.6,8.8,20.0,2.3,0.7,19.8,29.8,1.8,1.1,2.9,0.125,4.2,0.4,4.7,georgke01
Khris Middleton,Texas A&M,3,2,1,19,552.0,5.1,12.3,0.41,1.0,3.9,0.257,4.1,8.4,0.481,0.451,2.1,2.7,0.75,1.4,3.7,5.1,2.2,0.9,0.3,2.2,2.7,13.2,96.0,96.8,18.9,0.483,0.313,0.222,5.7,15.8,11.0,19.0,2.1,1.1,16.5,28.6,0.7,0.9,1.6,0.114,3.9,1.5,5.4,middlkh01
Klay Thompson,Washington St.,3,2,0,34,1179.0,7.1,16.2,0.436,2.9,7.2,0.398,4.2,9.0,0.466,0.525,4.6,5.4,0.838,0.7,4.5,5.2,3.7,1.6,0.9,3.4,3.4,21.6,107.6,94.8,26.1,0.574,0.446,0.336,2.6,14.0,8.6,25.0,2.8,3.1,17.8,31.9,3.7,2.2,5.8,0.198,6.7,2.6,9.3,thompkl01
Kris Dunn,Providence,1,2,0,33,1088.0,5.6,12.5,0.448,1.3,3.4,0.372,4.3,9.0,0.477,0.499,4.0,5.8,0.695,1.1,4.2,5.3,6.2,2.5,0.6,3.5,3.4,16.4,103.6,93.9,23.3,0.541,0.275,0.462,3.5,14.8,9.0,41.8,4.3,1.9,20.9,29.3,2.2,2.3,4.5,0.166,4.5,5.0,9.6,dunnkr01
Kris Murray,Iowa,3,2,1,29,1009.0,7.5,15.7,0.476,2.3,6.8,0.335,5.2,8.9,0.583,0.548,3.0,4.1,0.729,2.8,5.2,7.9,2.0,1.0,1.2,1.5,2.4,20.2,118.5,104.5,25.9,0.572,0.432,0.259,8.5,17.8,12.9,11.7,1.7,3.4,9.5,25.6,3.6,1.1,4.7,0.187,7.9,0.1,8.0,murrakr01
Kyle Anderson,UCLA,3,1,1,36,1196.0,5.0,10.5,0.48,0.8,1.6,0.483,4.2,8.9,0.48,0.517,3.8,5.2,0.737,1.2,7.5,8.8,6.5,1.8,0.8,3.1,2.0,14.6,110.6,94.3,24.7,0.566,0.154,0.493,4.5,25.5,15.4,34.3,3.1,2.7,20.2,26.0,3.1,2.6,5.6,0.189,6.0,4.0,10.0,anderky01
Kyle Filipowski,Duke,3,1,2,36,1095.0,6.1,12.1,0.506,1.1,3.1,0.348,5.0,9.0,0.56,0.551,3.1,4.6,0.671,2.2,6.0,8.2,2.8,1.2,1.5,2.1,4.0,16.4,114.5,93.5,26.0,0.575,0.257,0.384,8.6,22.6,16.0,18.4,2.3,5.2,14.9,27.7,3.4,2.5,6.0,0.217,6.0,4.1,10.1,filipky01
Kyle Kuzma,Utah,3,2,2,27,832.0,6.2,12.3,0.502,0.9,2.9,0.321,5.3,9.4,0.557,0.539,3.0,4.5,0.669,2.8,6.6,9.3,2.4,0.6,0.5,2.1,2.1,16.4,112.8,98.8,25.0,0.563,0.233,0.363,11.2,22.7,17.7,15.0,1.1,1.6,14.7,26.7,2.8,1.8,4.5,0.204,5.1,0.4,5.4,kuzmaky01
Kyle Lowry,Villanova,1,1,0,33,967.0,4.8,10.4,0.466,0.3,0.7,0.444,4.5,9.6,0.468,0.482,5.0,6.4,0.786,2.5,3.4,5.9,5.0,3.2,0.3,2.9,3.9,15.0,0.0,0.0,24.5,0.56,0.072,0.614,0.0,0.0,8.3,25.9,0.0,0.6,17.8,20.4,1.9,3.1,4.9,0.204,0.0,0.0,0.0,lowryky01
Kyrie Irving,Duke,3,0,0,11,303.0,5.0,9.5,0.529,1.6,3.5,0.462,3.4,5.9,0.569,0.615,5.8,6.5,0.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,3.0,17.5,130.5,91.7,32.5,0.697,0.375,0.683,2.3,10.6,6.7,29.8,3.0,1.8,18.6,27.2,1.8,0.6,2.4,0.32,9.5,4.4,13.9,irvinky01
Kyshawn George,Miami FL,3,0,1,31,713.0,2.6,6.1,0.426,1.7,4.2,0.408,0.9,1.9,0.467,0.566,0.7,0.9,0.778,0.5,2.6,3.0,2.2,0.9,0.4,1.5,3.1,7.6,107.2,105.8,13.6,0.582,0.684,0.142,2.2,12.1,7.3,16.3,2.2,1.8,21.9,17.6,0.9,0.8,1.7,0.097,1.0,1.9,2.8,georgky01
LaMelo Ball,Hawks,0,0,0,12,416.7,8.0,21.3,0.375,2.1,8.6,0.25,5.9,12.8,0.458,0.425,3.7,5.0,0.723,2.4,7.2,9.7,8.8,2.0,0.1,3.2,3.3,21.8,81.648,101.47,11.771,0.464,0.404,0.235,9.599,19.198,15.519,151.724,3.2,0.945,15.6,42.717,-0.143,1.147,1.004,0.096,2.292,1.276,3.568,ballla01
Landry Shamet,Wichita St.,1,1,0,32,1015.0,4.8,9.8,0.489,2.6,5.9,0.442,2.2,3.9,0.56,0.622,2.7,3.2,0.825,0.4,2.8,3.2,5.2,0.7,0.2,2.1,2.4,14.9,127.5,104.9,21.4,0.655,0.603,0.327,1.6,9.7,5.8,28.8,1.3,0.7,17.9,21.0,3.8,1.1,4.9,0.195,7.3,0.4,7.7,shamela01
Larry Nance Jr.,Wyoming,1,3,1,29,1012.0,6.1,12.0,0.507,0.5,1.4,0.341,5.6,10.6,0.529,0.527,3.9,5.0,0.785,1.4,5.8,7.2,2.5,1.2,1.2,2.3,2.6,16.1,106.3,91.7,25.3,0.577,0.117,0.415,6.2,20.5,14.1,19.7,2.3,4.3,15.9,27.9,2.8,2.6,5.4,0.199,3.6,2.8,6.4,nancela02
Lauri Markkanen,Arizona,3,0,1,37,1140.0,5.0,10.2,0.492,1.9,4.4,0.423,3.1,5.8,0.545,0.584,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.6,15.6,130.1,99.1,25.0,0.635,0.434,0.436,10.0,17.5,14.0,5.6,0.8,1.8,9.8,21.5,4.8,1.8,6.7,0.235,7.6,0.9,8.6,markkla01
Lindy Waters III,Oklahoma St.,3,3,1,31,981.0,3.6,9.4,0.381,1.3,4.0,0.317,2.3,5.4,0.429,0.448,2.1,2.6,0.825,0.5,3.6,4.2,2.4,1.2,0.1,1.6,2.9,10.5,100.2,97.8,13.4,0.497,0.423,0.275,1.9,12.8,7.5,15.8,2.2,0.3,15.6,19.1,1.2,1.5,2.6,0.107,1.1,2.0,3.1,waterli01
Lonzo Ball,UCLA,3,0,0,36,1262.0,5.2,9.5,0.551,2.2,5.4,0.412,3.0,4.1,0.732,0.668,1.8,2.7,0.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,2.1,14.6,129.4,99.8,24.7,0.673,0.566,0.286,3.2,14.3,9.3,31.4,2.8,2.1,18.9,20.1,4.8,2.0,6.8,0.214,7.6,3.4,11.0,balllo01
Luguentz Dort,Arizona St.,3,0,0,34,1073.0,5.1,12.6,0.405,1.6,5.2,0.307,3.5,7.5,0.472,0.467,4.3,6.1,0.7,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.8,16.1,98.9,100.2,16.5,0.518,0.409,0.481,4.5,10.0,7.3,15.0,2.7,0.8,18.7,27.1,1.5,1.6,3.1,0.115,1.2,1.1,2.3,dortlu01
Luke Kennard,Duke,3,1,1,37,1314.0,6.4,13.1,0.489,2.4,5.4,0.438,4.0,7.7,0.525,0.579,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.5,19.5,127.3,103.2,24.4,0.629,0.414,0.386,3.9,12.1,8.2,13.6,1.4,0.9,11.2,23.0,5.5,1.6,7.1,0.217,8.0,1.4,9.3,kennalu01
Luke Kornet,Vanderbilt,3,3,2,35,1101.0,4.1,10.2,0.406,1.5,4.6,0.327,2.6,5.6,0.472,0.48,3.4,4.0,0.857,1.5,4.7,6.2,1.2,0.5,2.0,1.3,2.9,13.2,109.9,98.3,20.0,0.547,0.454,0.392,5.9,16.6,11.5,8.5,1.0,6.7,11.2,21.9,2.4,1.9,4.3,0.155,3.8,3.2,7.0,kornelu01
Malaki Branham,Ohio St.,3,0,1,32,949.0,5.0,10.1,0.497,1.2,2.8,0.411,3.8,7.2,0.53,0.554,2.5,3.0,0.833,0.8,2.8,3.6,2.0,0.8,0.3,1.7,2.4,13.7,115.0,105.3,20.4,0.594,0.277,0.298,3.5,10.5,7.3,14.7,1.6,1.0,15.1,23.4,2.9,0.8,3.6,0.154,4.6,0.4,5.0,branhma01
Malik Monk,Kentucky,3,0,0,38,1218.0,6.6,14.7,0.45,2.7,6.9,0.397,3.9,7.8,0.497,0.543,3.9,4.7,0.822,0.3,2.2,2.5,2.3,0.9,0.5,2.0,2.4,19.8,115.7,99.9,21.5,0.586,0.47,0.323,1.1,7.2,4.2,13.3,1.6,1.5,13.3,25.1,3.9,1.9,5.8,0.189,6.0,1.8,7.9,monkma01
Marcus Smart,Oklahoma St.,3,1,0,31,1014.0,5.3,12.5,0.422,1.6,5.3,0.299,3.7,7.2,0.514,0.486,5.9,8.1,0.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,3.6,18.0,110.4,91.4,26.9,0.552,0.425,0.648,5.1,14.9,10.2,30.1,5.0,1.9,15.4,29.9,3.1,2.5,5.6,0.22,5.9,5.0,10.9,smartma01
Mark Williams,Duke,3,1,2,39,922.0,4.9,6.8,0.718,0.0,0.0,0.0,4.9,6.8,0.721,0.718,1.4,2.0,0.727,2.6,4.9,7.5,0.9,0.5,2.8,0.9,3.5,11.2,138.6,92.1,33.1,0.724,0.004,0.289,13.2,21.4,17.5,6.9,1.3,11.3,12.3,18.6,4.3,2.0,6.3,0.271,7.8,4.3,12.1,willima07
Marvin Bagley III,Duke,3,0,2,33,1114.0,8.2,13.3,0.614,0.7,1.8,0.397,7.5,11.6,0.647,0.64,4.0,6.3,0.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,2.2,21.0,123.8,96.5,30.6,0.643,0.132,0.475,13.8,21.4,17.9,8.8,1.4,2.6,14.7,25.8,4.8,2.1,6.9,0.248,8.3,1.4,9.6,baglema01
Mason Plumlee,Duke,3,3,2,36,1248.0,6.1,10.2,0.599,0.0,0.0,0.0,6.1,10.2,0.599,0.599,4.8,7.1,0.681,2.8,7.2,10.0,1.9,1.0,1.4,2.9,2.9,17.1,113.1,90.9,26.3,0.628,0.0,0.688,9.8,23.3,17.4,11.5,1.7,4.0,19.2,25.1,4.3,2.6,6.9,0.22,5.4,3.0,8.4,plumlma01
Matas Buzelis,GLI,2,0,1,26,831.0,6.1,13.6,0.448,1.0,3.8,0.273,5.1,9.8,0.515,0.549,1.6,2.4,0.679,2.1,5.7,7.8,2.2,0.9,2.3,2.5,2.9,16.2,97.0,121.0,13.7,0.549,0.279,0.178,6.4,18.4,12.2,10.1,1.3,5.8,14.6,21.7,-1.0,0.4,-0.6,-0.035,0.0,0.0,0.0,buzelma01
Matisse Thybulle,Washington,3,3,0,36,1116.0,3.1,7.5,0.415,1.3,4.2,0.305,1.8,3.3,0.555,0.5,1.6,1.9,0.851,0.8,2.3,3.1,2.1,3.4,2.2,1.8,3.6,9.1,103.2,87.4,19.9,0.542,0.559,0.248,3.0,9.0,6.0,13.5,6.6,8.1,20.5,17.2,1.3,3.1,4.3,0.154,2.2,8.4,10.5,thybuma01
Max Christie,Michigan St.,3,0,1,35,1079.0,3.2,8.4,0.382,1.1,3.5,0.317,2.1,4.9,0.429,0.449,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.4,9.3,98.2,106.5,10.5,0.494,0.42,0.253,3.4,9.2,6.4,8.6,1.0,1.7,16.5,17.2,0.9,0.8,1.7,0.063,0.5,0.3,0.8,chrisma02
Max Strus,DePaul,1,3,1,35,1310.0,6.6,15.5,0.429,3.2,8.9,0.363,3.4,6.6,0.517,0.533,3.7,4.3,0.842,1.1,4.8,5.9,2.2,0.9,0.5,2.0,3.1,20.1,115.8,107.9,20.3,0.575,0.575,0.281,3.5,14.7,9.1,11.3,1.4,1.6,12.7,23.4,3.9,1.0,4.9,0.15,4.9,-1.0,3.9,strusma01
Maxi Kleber,Bayern Munich,0,3,1,17,436.7,5.8,11.7,0.496,2.2,5.1,0.44,3.6,6.7,0.538,0.59,3.0,3.6,0.829,4.1,7.4,11.6,2.3,1.7,1.7,2.2,4.4,16.8,108.499,99.89,11.745,0.632,0.436,0.308,22.168,26.673,25.087,51.339,3.677,27.135,15.6,33.487,0.084,1.262,1.345,0.123,1.01,2.334,3.344,klebima01
Michael Porter Jr.,Missouri,3,0,1,3,53.0,3.3,10.0,0.333,1.0,3.3,0.3,2.3,6.7,0.35,0.383,2.3,3.0,0.778,1.3,5.3,6.7,0.3,1.0,0.3,1.0,4.5,10.0,92.7,88.7,20.0,0.438,0.333,0.3,9.5,32.5,21.8,4.6,3.4,2.0,10.1,33.3,0.0,0.1,0.2,0.128,4.7,3.4,8.1,portemi01
Mikal Bridges,Villanova,1,2,1,40,1287.0,6.1,11.9,0.514,2.6,6.0,0.435,3.5,5.9,0.593,0.623,2.9,3.4,0.851,1.4,4.0,5.3,1.9,1.5,1.1,1.4,2.7,17.6,130.1,97.4,26.8,0.655,0.503,0.282,5.2,13.7,9.7,10.6,2.7,3.5,10.9,22.0,5.4,2.4,7.7,0.241,8.4,3.6,12.0,bridgmi01
Mike Conley,Ohio St.,3,0,0,39,1231.0,5.2,10.0,0.518,0.7,2.2,0.304,4.5,7.8,0.579,0.552,3.2,4.7,0.694,0.9,3.5,4.4,7.7,2.8,0.3,2.8,1.9,14.3,0.0,0.0,24.5,0.584,0.223,0.466,0.0,0.0,0.0,0.0,0.0,0.0,18.6,23.4,2.7,3.4,6.1,0.199,0.0,0.0,9.6,conlemi01
Miles Bridges,Michigan St.,3,1,1,34,1067.0,6.1,13.4,0.458,2.1,5.7,0.366,4.1,7.7,0.527,0.536,2.7,3.2,0.845,1.3,5.7,7.0,2.6,0.6,0.8,2.0,2.0,17.1,116.2,94.6,22.6,0.573,0.427,0.241,5.2,18.1,12.5,16.6,1.2,2.5,14.7,25.0,3.3,2.2,5.5,0.208,5.7,1.9,7.6,bridgmi02
Miles McBride,West Virginia,3,1,0,29,991.0,5.4,12.5,0.43,1.6,3.8,0.414,3.8,8.7,0.437,0.493,3.4,4.2,0.813,1.2,2.7,3.9,4.9,1.9,0.3,1.8,2.0,15.8,117.9,101.2,22.8,0.543,0.305,0.339,3.7,9.2,6.3,28.6,3.2,1.0,13.2,23.0,3.4,1.2,4.7,0.189,6.3,2.6,8.8,mcbrimi01
Moritz Wagner,Michigan,3,2,1,38,1050.0,5.6,10.6,0.526,1.6,4.2,0.392,3.9,6.4,0.612,0.603,1.9,2.8,0.698,1.5,5.7,7.1,0.8,1.0,0.5,1.4,4.5,14.6,114.8,91.4,24.7,0.618,0.391,0.263,6.5,25.0,15.7,6.7,2.2,2.0,13.1,24.6,3.1,2.6,5.7,0.213,5.0,3.3,8.3,wagnemo01
Moses Moody,Arkansas,3,0,1,32,1082.0,5.2,12.1,0.427,1.8,5.1,0.358,3.3,7.0,0.478,0.503,4.7,5.8,0.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.7,16.8,116.0,97.4,20.4,0.568,0.42,0.482,6.3,11.8,9.0,8.0,1.6,2.0,11.8,21.6,3.4,1.8,5.2,0.193,4.5,1.6,6.1,moodymo01
Myles Turner,Texas,3,0,2,34,755.0,3.4,7.6,0.455,0.5,1.8,0.274,2.9,5.7,0.513,0.488,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,4.3,10.1,109.4,85.4,25.5,0.556,0.241,0.436,7.2,24.9,16.7,6.2,0.8,12.3,16.6,23.8,1.9,2.1,4.0,0.213,3.1,5.5,8.5,turnemy01
Naji Marshall,Xavier,1,2,1,31,1104.0,6.1,13.8,0.445,1.4,5.0,0.286,4.7,8.8,0.535,0.496,3.2,4.5,0.71,1.1,5.2,6.3,4.0,1.3,0.4,3.4,3.0,16.8,100.6,95.5,18.7,0.53,0.361,0.323,3.5,15.9,9.7,24.1,2.0,1.3,20.4,26.6,1.9,1.9,3.9,0.14,3.0,2.8,5.9,marshna01
Naz Reid,LSU,3,0,2,34,925.0,5.0,10.7,0.468,0.8,2.5,0.333,4.2,8.3,0.509,0.507,2.7,3.8,0.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,4.7,13.6,103.8,100.8,19.4,0.544,0.23,0.351,10.2,19.4,14.9,6.4,1.5,2.8,20.1,25.9,1.7,1.3,3.0,0.131,1.8,0.1,1.9,reidna01
Neemias Queta,Utah St.,1,2,2,28,841.0,5.8,10.4,0.558,0.0,0.1,0.0,5.8,10.4,0.562,0.558,3.5,5.0,0.707,2.9,7.3,10.1,2.7,1.1,3.3,2.4,3.2,14.9,113.2,79.9,30.5,0.593,0.007,0.479,10.7,26.8,19.0,18.4,2.0,13.4,18.2,24.9,2.8,2.9,5.8,0.265,4.9,7.0,11.8,quetane01
Nic Claxton,Georgia,3,1,1,32,1011.0,5.4,11.8,0.46,0.7,2.5,0.281,4.7,9.3,0.509,0.49,4.9,7.6,0.641,2.8,8.0,10.8,2.3,1.3,3.2,2.7,3.6,16.4,108.1,99.5,21.2,0.533,0.215,0.644,8.4,20.6,14.9,12.2,1.9,8.0,14.7,22.1,1.8,1.7,3.5,0.137,2.3,3.2,5.5,claxtni01
Nick Richards,Kentucky,3,2,2,31,919.0,5.3,8.2,0.642,0.0,0.0,0.0,5.3,8.2,0.642,0.642,3.5,4.7,0.752,2.6,5.2,7.8,0.2,0.1,2.1,1.6,4.3,14.0,123.4,94.5,25.8,0.674,0.0,0.571,11.3,18.6,15.3,1.7,0.2,8.0,15.3,20.3,3.4,1.6,5.1,0.222,4.2,2.1,6.3,richani01
Nickeil Alexander-Walker,Virginia Tech,3,1,0,34,1167.0,5.6,11.8,0.474,1.7,4.6,0.374,3.9,7.2,0.537,0.546,3.3,4.2,0.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.7,16.2,109.8,93.6,21.9,0.586,0.586,0.359,1.8,13.1,7.6,24.6,3.4,2.3,19.6,26.4,3.1,2.5,5.5,0.189,4.2,3.7,7.9,alexani01
Nicolas Batum,Le Mans,0,0,1,30,960.0,6.2,11.9,0.523,1.4,4.1,0.348,4.8,7.8,0.617,0.58,3.2,4.3,0.753,2.2,4.8,7.0,5.0,1.9,1.1,3.3,2.3,17.1,100.047,99.42,10.688,0.62,0.345,0.361,9.549,13.889,12.153,105.932,3.299,17.309,15.6,29.674,0.035,2.55,2.585,0.108,1.022,1.191,2.213,batumni01
Noah Clowney,Alabama,3,0,2,36,915.0,3.4,7.0,0.486,0.9,3.3,0.283,2.5,3.7,0.669,0.553,2.0,3.1,0.649,2.1,5.8,7.9,0.8,0.6,0.9,1.3,3.9,9.8,113.5,89.0,18.6,0.576,0.474,0.439,8.7,21.4,15.5,6.0,1.3,3.4,15.5,17.8,1.9,2.4,4.3,0.189,3.3,3.9,7.3,clownno01
Norman Powell,UCLA,3,3,1,36,1243.0,5.9,13.0,0.456,1.1,3.3,0.319,4.9,9.7,0.503,0.497,3.5,4.7,0.751,0.6,4.1,4.7,2.1,1.8,0.4,2.2,2.9,16.4,104.9,99.0,19.6,0.54,0.255,0.362,1.9,13.3,7.6,12.8,3.2,1.5,15.8,24.0,2.5,1.9,4.4,0.14,2.8,2.7,5.5,powelno01
OG Anunoby,Indiana,3,1,1,16,402.0,4.2,7.6,0.557,0.9,2.8,0.311,3.4,4.8,0.701,0.615,1.7,3.0,0.563,1.8,3.7,5.4,1.4,1.3,1.3,1.6,3.3,11.1,115.6,98.5,23.8,0.611,0.369,0.393,8.5,16.1,12.5,11.0,3.0,5.5,18.0,20.5,1.1,0.7,1.7,0.172,4.7,3.1,7.8,anunoog01
Obi Toppin,Dayton,1,1,1,31,981.0,7.9,12.5,0.633,1.0,2.6,0.39,6.9,9.8,0.698,0.674,3.2,4.5,0.702,1.2,6.4,7.5,2.2,1.0,1.2,2.2,2.1,20.0,122.5,89.6,32.5,0.684,0.212,0.364,5.2,22.0,14.5,14.5,1.8,4.1,15.4,26.2,4.5,2.3,6.8,0.279,8.6,3.3,11.9,toppiob01
Ochai Agbaji,Kansas,3,3,1,39,1367.0,6.6,13.9,0.475,2.6,6.5,0.407,4.0,7.4,0.534,0.57,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.9,18.8,114.0,97.9,20.8,0.595,0.466,0.28,2.8,12.9,8.2,8.7,1.5,1.7,14.5,23.3,4.0,2.2,6.2,0.181,6.5,1.7,8.1,agbajoc01
Onyeka Okongwu,USC,3,0,2,28,858.0,6.3,10.2,0.618,0.0,0.1,0.25,6.2,10.0,0.623,0.619,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2.0,3.5,16.3,119.1,87.6,31.1,0.646,0.014,0.502,12.4,18.4,15.5,8.4,2.3,9.8,15.9,23.4,3.2,2.1,5.4,0.251,6.2,4.7,10.9,okongon01
Ousmane Dieng,New Zealand,0,0,1,23,520.0,6.9,17.2,0.398,2.2,8.2,0.271,4.7,9.0,0.514,0.465,1.6,2.3,0.667,1.0,5.2,6.2,2.1,1.2,0.6,2.8,2.9,17.4,82.81,102.37,10.79,0.478,0.477,0.134,6.143,21.296,15.235,40.856,2.949,6.865,15.6,51.632,-0.102,1.39,1.288,0.099,1.017,1.164,2.181,diengou01
Paolo Banchero,Duke,3,0,1,39,1286.0,6.3,13.2,0.478,1.1,3.3,0.338,5.2,9.8,0.525,0.52,3.5,4.8,0.729,1.8,6.1,7.8,3.2,1.1,0.9,2.4,2.3,17.2,111.3,97.1,24.2,0.557,0.253,0.366,6.5,19.1,13.2,17.5,1.9,2.7,15.4,27.2,4.0,2.2,6.1,0.191,5.5,1.6,7.1,banchpa01
Pascal Siakam,New Mexico St.,1,1,2,32,1131.0,8.1,15.0,0.536,0.1,0.5,0.2,8.0,14.6,0.547,0.54,4.2,6.1,0.686,4.0,7.8,11.8,1.6,1.0,2.2,2.1,3.1,20.4,115.4,86.8,31.6,0.569,0.029,0.403,13.4,23.5,18.8,11.2,1.7,6.4,12.6,28.0,4.4,3.4,7.8,0.266,5.2,3.1,8.3,siakapa01
Pat Connaughton,Notre Dame,3,3,1,38,1351.0,4.4,9.4,0.466,2.4,5.8,0.423,1.9,3.6,0.537,0.597,1.3,1.7,0.781,1.1,6.3,7.4,1.5,0.7,0.9,1.2,2.2,12.5,120.4,100.0,19.4,0.615,0.618,0.18,4.2,20.4,13.0,7.6,1.3,2.7,12.2,16.7,3.5,1.9,5.4,0.16,5.8,1.1,6.9,connapa01
Patrick Williams,Florida St.,3,0,1,29,651.0,3.3,7.2,0.457,0.6,1.7,0.32,2.7,5.4,0.5,0.495,2.1,2.6,0.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,2.9,9.2,104.2,92.9,19.4,0.551,0.242,0.356,6.8,13.9,10.5,8.4,2.6,5.6,20.2,21.9,1.2,1.3,2.5,0.154,1.8,2.7,4.5,willipa01
Paul George,Fresno St.,1,1,1,28,929.0,5.4,12.5,0.427,2.1,5.8,0.356,3.3,6.7,0.489,0.51,3.9,4.4,0.902,1.9,5.3,7.2,3.1,2.1,0.9,3.2,3.5,16.7,105.6,94.6,24.3,0.572,0.46,0.348,6.8,18.6,12.8,22.6,3.9,3.0,20.8,27.3,2.3,1.8,4.2,0.173,4.4,2.3,6.7,georgpa01
Paul Reed,DePaul,1,2,2,28,887.0,6.4,12.5,0.516,0.5,1.8,0.294,5.9,10.6,0.554,0.537,2.1,2.8,0.756,3.3,7.4,10.7,1.6,1.9,2.6,2.3,3.7,15.1,108.4,88.8,27.5,0.562,0.147,0.223,11.2,25.7,18.4,11.1,3.3,9.4,16.5,23.6,2.2,2.3,4.5,0.194,4.6,4.0,8.6,reedpa01
Payton Pritchard,Oregon,3,3,0,31,1132.0,7.0,14.9,0.468,2.8,6.8,0.415,4.1,8.1,0.512,0.563,3.7,4.5,0.821,0.7,3.6,4.3,5.5,1.5,0.0,2.7,2.2,20.5,120.6,100.3,27.1,0.601,0.459,0.303,2.3,11.6,7.1,31.6,2.5,0.1,16.0,28.4,5.3,1.4,6.7,0.235,8.7,1.3,10.0,pritcpa01
Peyton Watson,UCLA,3,0,1,32,405.0,1.2,3.7,0.322,0.2,1.0,0.226,1.0,2.7,0.356,0.352,0.7,1.0,0.688,0.9,2.0,2.9,0.8,0.6,0.6,0.9,5.0,3.3,83.6,90.7,11.2,0.394,0.263,0.271,8.1,18.7,13.3,10.1,2.8,5.3,21.0,21.2,-0.2,0.9,0.8,0.074,-3.2,2.9,-0.3,watsope01
Precious Achiuwa,Memphis,1,0,2,31,941.0,5.9,11.9,0.493,0.4,1.3,0.325,5.5,10.6,0.514,0.511,3.6,6.0,0.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,3.1,15.8,98.2,81.6,23.3,0.534,0.108,0.507,11.4,24.7,18.6,7.5,2.0,6.4,18.6,27.2,1.5,2.9,4.4,0.187,2.2,2.9,5.1,achiupr01
Quentin Grimes,Houston,1,2,1,30,984.0,5.8,14.2,0.406,3.3,8.3,0.403,2.4,5.9,0.41,0.523,3.0,3.8,0.788,1.6,4.1,5.7,2.0,1.4,0.3,1.8,2.7,17.8,118.2,90.4,23.5,0.558,0.582,0.265,5.4,14.1,9.6,12.6,2.6,1.2,13.5,25.3,3.7,2.4,6.1,0.25,7.8,2.2,10.0,grimequ01
Rayan Rupert,New Zealand,0,0,0,20,437.8,4.8,13.1,0.364,1.2,4.9,0.25,3.6,8.2,0.432,0.412,2.7,3.8,0.703,1.3,3.7,5.0,1.9,1.7,0.3,2.3,4.0,13.4,78.491,102.21,10.726,0.454,0.374,0.29,8.248,15.651,12.69,48.969,4.315,4.351,15.6,43.328,-0.113,1.194,1.082,0.099,0.339,0.892,1.231,ruperra01
